action_number,new_accuracy,new_DR,new_DP,new_EO,new_PQP
original,0.92,0.063281745,0.01028063350930819,0.011877345064044587,0.08050732501356483
1,0.9233333333333333,0.06583944,0.0035009724923590335,0.004243757277785032,0.07973324950601757
2,0.9233333333333333,0.06455115,0.01016949152542368,0.011450381679389277,0.08022681338423532
3,0.9216666666666666,0.06630221,0.013559322033898313,0.01526717557251911,0.08061517660976847
4,0.925,0.06548022,0.006779661016949157,0.007633587786259555,0.0798411011022212
5,0.9233333333333333,0.06502326,0.0035009724923590335,0.004243757277785032,0.07973324950601757
6,0.9283333333333333,0.058128215,0.0,0.0,0.07907752153375935
7,0.9283333333333333,0.057089914,0.0,0.0,0.07907752153375935
8,0.925,0.060460314,0.00011114198388439966,0.000426963384655199,0.07935016111707838
9,0.925,0.060949992,0.00011114198388439966,0.000426963384655199,0.07935016111707838
10,0.925,0.06457705,0.006779661016949157,0.007633587786259555,0.0798411011022212
11,0.9266666666666666,0.061043687,0.003389830508474523,0.003816793893129722,0.07945801271328201
12,0.925,0.06318506,0.006779661016949157,0.007633587786259555,0.0798411011022212
13,0.9266666666666666,0.06296228,0.003389830508474523,0.003816793893129722,0.07945801271328201
14,0.9233333333333333,0.05859116,0.0035009724923590335,0.004243757277785032,0.07973324950601757
15,0.925,0.05736147,0.006779661016949157,0.007633587786259555,0.0798411011022212
16,0.9283333333333333,0.060989883,0.0,0.0,0.07907752153375935
17,0.9233333333333333,0.056715775,0.0035009724923590335,0.004243757277785032,0.07973324950601757
18,0.925,0.056545664,0.00011114198388439966,0.000426963384655199,0.07935016111707838
19,0.925,0.056352604,0.00011114198388439966,0.000426963384655199,0.07935016111707838
20,0.925,0.06023855,0.00011114198388439966,0.000426963384655199,0.07935016111707838
21,0.9266666666666666,0.055940654,0.003389830508474523,0.003816793893129722,0.07945801271328201
22,0.925,0.061153375,0.006779661016949157,0.007633587786259555,0.0798411011022212
23,0.9233333333333333,0.05528094,0.01016949152542368,0.011450381679389277,0.08022681338423532
24,0.925,0.055433568,0.006779661016949157,0.007633587786259555,0.0798411011022212
