action_number,new_accuracy,new_DR,new_DP,new_EO,new_PQP
original,0.9416666666666667,0.066242844,0.007547169811320753,0.008368200836820106,0.07796379320129387
1,0.94,0.06252292,0.01132075471698113,0.012552301255230103,0.0783411188333144
2,0.9416666666666667,0.061236523,0.007547169811320753,0.008368200836820106,0.07796379320129387
3,0.9433333333333334,0.062120304,0.0037735849056603765,0.004184100418409997,0.07758932609678881
4,0.9433333333333334,0.06562468,0.0037735849056603765,0.004184100418409997,0.07758932609678881
5,0.9433333333333334,0.065200545,0.0037735849056603765,0.004184100418409997,0.07758932609678881
6,0.9416666666666667,0.061660472,0.007547169811320753,0.008368200836820106,0.07796379320129387
7,0.9433333333333334,0.06741675,0.0037735849056603765,0.004184100418409997,0.07758932609678881
8,0.9383333333333334,0.06604464,0.008335680090115427,0.009503520767425222,0.07827855738903877
9,0.9383333333333334,0.064104326,0.015094339622641506,0.01673640167364021,0.07872133584948815
10,0.9416666666666667,0.063827455,0.007547169811320753,0.008368200836820106,0.07796379320129387
11,0.945,0.064671226,0.0,0.0,0.0772176851591101
12,0.9433333333333334,0.06276315,0.0037735849056603765,0.004184100418409997,0.07758932609678881
13,0.9433333333333334,0.06361448,0.0037735849056603765,0.004184100418409997,0.07758932609678881
14,0.94,0.06463338,0.004562095184455051,0.005319420349015225,0.07790123175701824
15,0.94,0.06304388,0.01132075471698113,0.012552301255230103,0.0783411188333144
16,0.945,0.06139742,0.0,0.0,0.0772176851591101
17,0.945,0.06609065,0.0,0.0,0.0772176851591101
18,0.94,0.06297196,0.01132075471698113,0.012552301255230103,0.0783411188333144
19,0.9416666666666667,0.0676281,0.007547169811320753,0.008368200836820106,0.07796379320129387
20,0.9416666666666667,0.06436847,0.007547169811320753,0.008368200836820106,0.07796379320129387
21,0.9416666666666667,0.06436911,0.007547169811320753,0.008368200836820106,0.07796379320129387
22,0.9416666666666667,0.0639247,0.007547169811320753,0.008368200836820106,0.07796379320129387
23,0.9433333333333334,0.06499463,0.0037735849056603765,0.004184100418409997,0.07758932609678881
24,0.9416666666666667,0.06762741,0.007547169811320753,0.008368200836820106,0.07796379320129387
25,0.94,0.06889994,0.01132075471698113,0.012552301255230103,0.0783411188333144
26,0.945,0.06906401,0.007547169811320753,0.004184100418409997,0.07416151183247266
27,0.9416666666666667,0.06623511,0.007547169811320753,0.008368200836820106,0.07796379320129387
28,0.9383333333333334,0.06745534,0.008335680090115427,0.009503520767425222,0.07827855738903877
29,0.9433333333333334,0.06852707,0.0037735849056603765,0.004184100418409997,0.07758932609678881
30,0.94,0.06928874,0.01132075471698113,0.012552301255230103,0.0783411188333144
31,0.9416666666666667,0.067476936,0.007547169811320753,0.008368200836820106,0.07796379320129387
32,0.9433333333333334,0.061883178,0.0037735849056603765,0.004184100418409997,0.07758932609678881
33,0.9416666666666667,0.06461323,0.007547169811320753,0.008368200836820106,0.07796379320129387
34,0.9416666666666667,0.063472755,0.007547169811320753,0.008368200836820106,0.07796379320129387
35,0.945,0.0639878,0.0,0.0,0.0772176851591101
