action_number,new_accuracy,new_DR,new_DP,new_EO,new_PQP
original,0.935,0.06871404,0.010273972602739767,0.011406844106463865,0.07761874803397295
1,0.935,0.07164921,0.010273972602739767,0.011406844106463865,0.07761874803397295
2,0.9333333333333333,0.064929515,0.020547945205479423,0.019011406844106515,0.07517482517482521
3,0.9366666666666666,0.07039099,0.006849315068493178,0.0076045627376425395,0.07727272727272727
4,0.935,0.07304238,0.010273972602739767,0.011406844106463865,0.07761874803397295
5,0.9316666666666666,0.068592265,0.017123287671232834,0.019011406844106515,0.07831802343997463
6,0.9366666666666666,0.06780929,0.013698630136986356,0.011406844106463865,0.0744949494949495
7,0.9366666666666666,0.06759899,0.013698630136986356,0.011406844106463865,0.0744949494949495
8,0.935,0.06755681,0.01045187689023308,0.008084584970251218,0.07442091929062611
9,0.935,0.06853725,0.010273972602739767,0.011406844106463865,0.07761874803397295
10,0.9366666666666666,0.06426394,0.013698630136986356,0.011406844106463865,0.0744949494949495
11,0.9366666666666666,0.06448965,0.013698630136986356,0.011406844106463865,0.0744949494949495
12,0.9366666666666666,0.06448965,0.013698630136986356,0.011406844106463865,0.0744949494949495
13,0.9383333333333334,0.064958796,0.010273972602739767,0.0076045627376425395,0.07415854042151626
14,0.9366666666666666,0.06630016,0.006849315068493178,0.0076045627376425395,0.07727272727272727
15,0.935,0.067183994,0.017123287671232834,0.01520912547528519,0.07483370288248337
16,0.9333333333333333,0.07105192,0.020547945205479423,0.019011406844106515,0.07517482517482521
17,0.9316666666666666,0.070828296,0.023972602739726012,0.02281368821292773,0.07551834130781498
18,0.9366666666666666,0.070022635,0.013698630136986356,0.011406844106463865,0.0744949494949495
19,0.9316666666666666,0.06765416,0.017301191958726148,0.01568914770789387,0.07510079497050182
20,0.9333333333333333,0.06841596,0.013698630136986356,0.01520912547528519,0.07796717171717171
21,0.9316666666666666,0.07138167,0.0028909446717665377,0.0023622146709952885,0.07704918032786878
22,0.9316666666666666,0.07138167,0.0028909446717665377,0.0023622146709952885,0.07704918032786878
23,0.9316666666666666,0.07079858,0.003780466109233327,0.004762325834038572,0.07747020376778158
24,0.935,0.064407475,0.003780466109233327,0.0009600444652172468,0.07400999615532489
25,0.9266666666666666,0.069826536,0.014232342999466296,0.012846910804289902,0.0752947943629565
26,0.9283333333333333,0.06697497,0.010807685465219707,0.009044629435468687,0.07495127822996672
27,0.9316666666666666,0.067449555,0.010629781177726394,0.008564607202859897,0.07468515861629199
28,0.9316666666666666,0.063483775,0.0028909446717665377,0.0023622146709952885,0.07704918032786878
29,0.9316666666666666,0.064728014,0.00395837039672664,0.0014400666978260368,0.07427140255009101
30,0.93,0.06720048,0.007383027930973118,0.005242348066647362,0.07461015593762488
31,0.9333333333333333,0.068870254,0.0005337128624800513,0.0023622146709952885,0.07393499347665777
32,0.9266666666666666,0.06858125,0.007383027930973118,0.009044629435468687,0.07809447649511614
33,0.9316666666666666,0.066432536,0.003780466109233327,0.004762325834038572,0.07747020376778158
34,0.9316666666666666,0.066432536,0.003780466109233327,0.004762325834038572,0.07747020376778158
35,0.925,0.06802983,0.017479096246219572,0.019971451309323762,0.07887856897144818
